word,count
love,195
beauty,70
time,70
more,64
mine,63
their,63
heart,58
sweet,57
eyes,53
yet,51
than,48
now,46
should,44
fair,44
make,43
one,43
still,41
eye,40
true,38
see,37
like,36
world,33
those,33
though,33
being,32
some,31
such,31
own,30
who,30
self,29
live,29
upon,29
every,29
day,29
say,28
praise,28
give,27
most,27
might,26
new,26
let,26
well,26
why,25
show,24
life,24
since,24
truth,24
even,24
look,23
best,23
old,22
night,22
dear,22
thus,22
these,22
thyself,21
must,21
would,21
know,21
myself,21
worth,20
death,20
men,20
ill,20
part,20
better,20
made,19
face,19
whose,19
nothing,19
alone,19
summer,19
there,19
heaven,19
false,19
too,18
hand,18
thought,18
away,18
against,18
thoughts,18
days,17
much,17
age,17
sight,17
hast,17
mind,17
hate,17
therefore,17
both,17
name,17
never,16
youth,16
nature,16
others,16
other,16
find,16
out,16
tongue,16
muse,16
far,16
friend,16
dead,16
tell,15
each,15
good,15
before,15
verse,15
come,15
seem,15
poor,15
think,15
proud,14
gentle,14
many,14
wilt,14
state,14
till,14
things,14
bear,13
use,13
looks,13
none,13
hold,13
first,13
whilst,13
black,13
lie,13
full,13
take,13
die,12
making,12
lies,12
another,12
hours,12
prove,12
change,12
kind,12
mayst,12
call,12
whom,12
long,12
earth,12
ever,12
sun,12
tis,12
soul,12
woe,12
desire,11
bright,11
within,11
form,11
shalt,11
pleasure,11
happy,11
end,11
grow,11
yourself,11
after,11
rich,11
knows,11
grace,11
pride,11
seen,11
shame,10
glass,10
great,10
leave,10
place,10
could,10
lov,10
keep,10
any,10
decay,10
store,10
again,10
pen,10
write,10
thing,10
once,10
words,10
loving,10
deeds,10
cannot,10
found,10
fire,10
right,10
spirit,10
pity,9
treasure,9
back,9
beauteous,9
gone,9
lives,9
times,9
strong,9
without,9
past,9
save,9
fortune,9
